"homework1","homework2","homework3","homework4","homework.wt","midterm","final","exams.wt","total.wt","lettergrade"
81,82,85,88,33.6,141,131,54.4,88,"A"
47,93,84,85,30.9,137,126,52.6,83.5,"A"
66,71,54,82,27.3,124,116,48,75.3,"A-"
67,79,65,46,25.7,124,106,46,71.7,"A-"
64,82,62,43,25.1,122,107,45.8,70.9,"A-"
59,83,66,37,24.5,117,88,41,65.5,"B+"
27,67,38,60,19.2,117,86,40.6,59.8,"B"
56,83,45,45,22.9,100,80,36,58.9,"B"
42,81,64,41,22.8,103,67,34,56.8,"B"
41,51,56,56,20.4,92,83,35,55.4,"B"
51,67,45,0,16.3,91,80,34.2,50.5,"B-"
4,82,68,68,22.2,65,73,27.6,49.8,"B-"
0,0,0,0,0,120,115,47,47,"C+"
46,0,33,0,7.9,104,83,37.4,45.3,"C+"
0,23,0,0,2.3,87,87,34.8,37.1,"C"
28,0,27,0,5.5,102,0,20.4,25.9,"C-"
0,0,0,0,0,101,0,20.2,20.2,"D"
53,0,0,0,5.3,0,0,0,5.3,"F"
0,0,0,0,0,0,0,0,0,"F"
0,0,0,0,0,0,0,0,0,"F"
