Date,DJIA,NASDAQ
2017-02-09,20172.4,5212.16
2017-02-10,20269.37,5226.69
2017-02-13,20412.16,5256.82
2017-02-14,20504.41,5271.07
2017-02-15,20611.86,5302.39
2017-02-16,20619.77,5300.64
2017-02-17,20624.05,5324.72
2017-02-20,NA,NA
2017-02-21,20743,5350.73
2017-02-22,20775.6,5352.13
2017-02-23,20810.32,5332.37
2017-02-24,20821.76,5343.31
2017-02-27,20837.44,5347.55
2017-02-28,20812.24,5330.31
2017-03-01,21115.55,5390.99
2017-03-02,21002.97,5363.26
2017-03-03,21005.71,5373.48
2017-03-06,20954.34,5360.31
2017-03-07,20924.76,5351.28
2017-03-08,20855.73,5359.8
2017-03-09,20858.19,5363.98
2017-03-10,20902.98,5385.9
2017-03-13,20881.48,5394.57
2017-03-14,20837.37,5382.17
2017-03-15,20950.1,5416.25
2017-03-16,20934.55,5412.08
2017-03-17,20914.62,5408.76
2017-03-20,20905.86,5413.31
2017-03-21,20668.01,5332.53
2017-03-22,20661.3,5367.56
2017-03-23,20656.58,5355.14
2017-03-24,20596.72,5364
2017-03-27,20550.98,5374.27
2017-03-28,20701.5,5407.21
2017-03-29,20659.32,5430.27
2017-03-30,20728.49,5439.74
2017-03-31,20663.22,5436.23
2017-04-03,20650.21,5432.2
2017-04-04,20689.24,5440.41
2017-04-05,20648.15,5418.52
2017-04-06,20662.95,5420.88
2017-04-07,20656.1,5418.37
2017-04-10,20658.02,5421.68
2017-04-11,20651.3,5398.4
2017-04-12,20591.86,5377.03
2017-04-13,20453.25,5353.59
2017-04-14,NA,NA
2017-04-17,20636.92,5399.2
2017-04-18,20523.28,5391.66
2017-04-19,20404.49,5399.64
2017-04-20,20578.71,5443.53
2017-04-21,20547.76,5442.05
2017-04-24,20763.89,5508.03
2017-04-25,20996.12,5548.19
2017-04-26,20975.09,5541.09
2017-04-27,20981.33,5571.28
2017-04-28,20940.51,5583.53
2017-05-01,20913.46,5629.63
2017-05-02,20949.89,5644.07
2017-05-03,20957.9,5625.16
2017-05-04,20951.47,5626.32
2017-05-05,21006.94,5646.09
2017-05-08,21012.28,5659.07
2017-05-09,20975.78,5678.31
2017-05-10,20943.11,5681.68
2017-05-11,20919.42,5674.22
2017-05-12,20896.61,5686.81
2017-05-15,20981.94,5704.48
2017-05-16,20979.75,5724.44
2017-05-17,20606.93,5580.55
2017-05-18,20663.02,5626.31
2017-05-19,20804.84,5651.56
2017-05-22,20894.83,5699.4
2017-05-23,20937.91,5703.35
2017-05-24,21012.42,5730.3
2017-05-25,21082.95,5778.37
2017-05-26,21080.28,5788.36
2017-05-29,NA,NA
2017-05-30,21029.47,5794.63
2017-05-31,21008.65,5788.8
2017-06-01,21144.18,5816.51
2017-06-02,21206.29,5881.46
2017-06-05,21184.04,5878.12
2017-06-06,21136.23,5856.77
2017-06-07,21173.69,5877.59
2017-06-08,21182.53,5885.3
2017-06-09,21271.97,5741.94
2017-06-12,21235.67,5708.18
2017-06-13,21328.47,5751.82
2017-06-14,21374.56,5727.07
2017-06-15,21359.9,5700.89
2017-06-16,21384.28,5681.48
2017-06-19,21528.99,5772.22
2017-06-20,21467.14,5726.31
2017-06-21,21410.03,5782.39
2017-06-22,21397.29,5779.87
2017-06-23,21394.76,5803.11
2017-06-26,21409.55,5777.59
2017-06-27,21310.66,5671.6
2017-06-28,21454.61,5753.03
2017-06-29,21287.03,5653.02
2017-06-30,21349.63,5646.92
2017-07-03,21479.27,5596.96
2017-07-04,NA,NA
2017-07-05,21478.17,5648.82
2017-07-06,21320.04,5597.9
2017-07-07,21414.34,5656.47
2017-07-10,21408.52,5694.15
2017-07-11,21409.07,5709.8
2017-07-12,21532.14,5778.95
2017-07-13,21553.09,5793.36
2017-07-14,21637.74,5838.08
2017-07-17,21629.72,5839.74
2017-07-18,21574.73,5880.1
2017-07-19,21640.75,5916.16
2017-07-20,21611.78,5921.22
2017-07-21,21580.07,5921.52
2017-07-24,21513.17,5941.37
2017-07-25,21613.43,5930.65
2017-07-26,21711.01,5950.73
2017-07-27,21796.55,5917.03
2017-07-28,21830.31,5908.92
2017-07-31,21891.12,5880.33
2017-08-01,21963.92,5895.17
2017-08-02,22016.24,5914.23
2017-08-03,22026.1,5891.2
2017-08-04,22092.81,5899.91
2017-08-07,22118.42,5934.73
2017-08-08,22085.34,5926.35
2017-08-09,22048.7,5919.39
2017-08-10,21844.01,5788.19
2017-08-11,21858.32,5831.53
2017-08-14,21993.71,5908.17
2017-08-15,21998.99,5907.73
2017-08-16,22024.87,5917.42
2017-08-17,21750.73,5796.32
2017-08-18,21674.51,5790.91
2017-08-21,21703.75,5786.54
2017-08-22,21899.89,5873.33
2017-08-23,21812.09,5851.78
2017-08-24,21783.4,5834.44
2017-08-25,21813.67,5822.53
2017-08-28,21808.4,5838.08
2017-08-29,21865.37,5862.14
2017-08-30,21892.43,5932.9
2017-08-31,21948.1,5988.6
2017-09-01,21987.56,5987.9
2017-09-04,NA,NA
2017-09-05,21753.31,5932.73
2017-09-06,21807.64,5951.13
2017-09-07,21784.78,5964.31
2017-09-08,21797.79,5913.37
2017-09-11,22057.37,5980.53
2017-09-12,22118.86,5995.64
2017-09-13,22158.18,6004.38
2017-09-14,22203.48,5968.82
2017-09-15,22268.34,5988
2017-09-18,22331.35,5981.12
2017-09-19,22370.8,5991.08
2017-09-20,22412.59,5973.6
2017-09-21,22359.23,5934.91
2017-09-22,22349.59,5932.32
2017-09-25,22296.09,5867.35
2017-09-26,22284.32,5881.34
2017-09-27,22340.71,5937.79
2017-09-28,22381.2,5933.07
2017-09-29,22405.09,5979.3
2017-10-02,22557.6,5981.92
2017-10-03,22641.67,5995.06
2017-10-04,22661.64,5998.84
2017-10-05,22775.39,6057.14
2017-10-06,22773.67,6064.57
2017-10-09,22761.07,6058.53
2017-10-10,22830.68,6063.52
2017-10-11,22872.89,6081.25
2017-10-12,22841.01,6069.99
2017-10-13,22871.72,6092.45
2017-10-16,22956.96,6114.53
2017-10-17,22997.44,6122.61
2017-10-18,23157.6,6114.35
2017-10-19,23163.04,6092.62
2017-10-20,23328.63,6108.82
2017-10-23,23273.96,6067.83
2017-10-24,23441.76,6080.22
2017-10-25,23329.46,6055.04
2017-10-26,23400.86,6037.87
2017-10-27,23434.19,6213.47
2017-10-30,23348.74,6227.59
2017-10-31,23377.24,6248.56
2017-11-01,23435.01,6248.65
2017-11-02,23516.26,6236.39
2017-11-03,23539.19,6295.58
2017-11-06,23548.42,6313.61
2017-11-07,23557.23,6320.78
2017-11-08,23563.36,6345.81
2017-11-09,23461.94,6312.21
2017-11-10,23422.21,6309.07
2017-11-13,23439.7,6316.18
2017-11-14,23409.47,6293.64
2017-11-15,23271.28,6258.36
2017-11-16,23458.36,6339.14
2017-11-17,23358.24,6314.51
2017-11-20,23430.33,6308.61
2017-11-21,23590.83,6378.63
2017-11-22,23526.18,6386.12
2017-11-23,NA,NA
2017-11-24,23557.99,6409.29
2017-11-27,23580.78,6405.97
2017-11-28,23836.71,6422.56
2017-11-29,23940.68,6311.38
2017-11-30,24272.35,6365.56
2017-12-01,24231.59,6337.87
2017-12-04,24290.05,6263.7
2017-12-05,24180.64,6265.11
2017-12-06,24140.91,6293.05
2017-12-07,24211.48,6316.28
2017-12-08,24329.16,6344.57
2017-12-11,24386.03,6393.89
2017-12-12,24504.8,6383.65
2017-12-13,24585.43,6394.67
2017-12-14,24508.66,6389.91
2017-12-15,24651.74,6466.32
2017-12-18,24792.2,6513.27
2017-12-19,24754.75,6480.67
2017-12-20,24726.65,6472.48
2017-12-21,24782.29,6472.69
2017-12-22,24754.06,6465.17
2017-12-25,NA,NA
2017-12-26,24746.21,6433.16
2017-12-27,24774.3,6435.15
2017-12-28,24837.51,6441.42
2017-12-29,24719.22,6396.42
2018-01-01,NA,NA
2018-01-02,24824.01,6511.34
2018-01-03,24922.68,6575.8
2018-01-04,25075.13,6584.58
2018-01-05,25295.87,6653.29
2018-01-08,25283,6676.63
2018-01-09,25385.8,6677.94
2018-01-10,25369.13,6662.66
2018-01-11,25574.73,6708.49
2018-01-12,25803.19,6758.54
2018-01-15,NA,NA
2018-01-16,25792.86,6737.14
2018-01-17,26115.65,6810.28
2018-01-18,26017.81,6811.38
2018-01-19,26071.72,6834.33
2018-01-22,26214.6,6906.28
2018-01-23,26210.81,6963.46
2018-01-24,26252.12,6919.35
2018-01-25,26392.79,6916.3
2018-01-26,26616.71,7022.97
2018-01-29,26439.48,6988.32
2018-01-30,26076.89,6930.73
2018-01-31,26149.39,6949.99
2018-02-01,26186.71,6901.5
2018-02-02,25520.96,6760.29
2018-02-05,24345.75,6495.92
2018-02-06,24912.77,6665.98
2018-02-07,24893.35,6582.02
2018-02-08,23860.46,6306.1
2018-02-09,24190.9,6412.68
